season,consistency,n_weeks,system,judge_save_mode,k_bottom
1,1.0,4,rank,False,1
2,1.0,7,rank,False,1
3,1.0,8,percentage,False,1
4,1.0,8,percentage,False,1
5,1.0,9,percentage,False,1
6,1.0,8,percentage,False,1
7,1.0,8,percentage,False,1
8,1.0,9,percentage,False,1
9,1.0,9,percentage,False,1
10,1.0,8,percentage,False,1
11,1.0,9,percentage,False,1
12,1.0,8,percentage,False,1
13,1.0,9,percentage,False,1
14,1.0,8,percentage,False,1
15,1.0,7,percentage,False,1
16,1.0,8,percentage,False,1
17,1.0,8,percentage,False,1
18,1.0,7,percentage,False,1
19,1.0,9,percentage,False,1
20,1.0,8,percentage,False,1
21,1.0,6,percentage,False,1
22,1.0,7,percentage,False,1
23,1.0,8,percentage,False,1
24,1.0,8,percentage,False,1
25,1.0,7,percentage,False,1
26,1.0,3,percentage,False,1
27,1.0,7,percentage,False,1
28,1.0,7,rank,True,2
29,1.0,9,rank,True,2
30,1.0,8,rank,True,2
31,1.0,9,rank,True,2
32,1.0,9,rank,True,2
33,1.0,6,rank,True,2
34,1.0,8,rank,True,2
