season,elim_weeks,disagreement_weeks,pct_match_rate,rank_match_rate,disagreement_rate,median_margin_pct,median_margin_rank,pct_more_audience_rate
1,4,0,1.0,1.0,0.0,0.15832376939843562,0.11904761904761905,
2,7,0,1.0,1.0,0.0,0.11231581101656127,0.09999999999999998,
3,8,0,1.0,1.0,0.0,0.08538578250205611,0.06755050505050506,
4,8,0,1.0,1.0,0.0,0.09410409924706306,0.08373015873015874,
5,9,0,1.0,1.0,0.0,0.08250224827220581,0.07777777777777778,
6,8,0,1.0,1.0,0.0,0.0900821742841151,0.08611111111111111,
7,8,0,1.0,1.0,0.0,0.09016350791358894,0.08015873015873015,
8,9,0,1.0,1.0,0.0,0.09360662957206103,0.09523809523809523,
9,9,0,1.0,1.0,0.0,0.06129044738797462,0.05714285714285715,
10,8,0,1.0,1.0,0.0,0.09503227383978159,0.09375,
11,9,0,1.0,1.0,0.0,0.0768642698985846,0.07575757575757576,
12,8,0,1.0,1.0,0.0,0.08667866268765748,0.08257575757575758,
13,9,0,1.0,1.0,0.0,0.08506247811147964,0.09523809523809523,
14,8,1,1.0,0.875,0.125,0.08140070778009136,0.07322261072261071,1.0
15,7,1,1.0,0.8571428571428571,0.14285714285714285,0.06698893454646984,0.04487179487179487,1.0
16,8,0,1.0,1.0,0.0,0.07933832587410648,0.09652777777777778,
17,8,1,1.0,0.875,0.125,0.07102609387642606,0.06776556776556776,1.0
18,7,0,1.0,1.0,0.0,0.07799143030161057,0.07777777777777778,
19,9,0,1.0,1.0,0.0,0.06352975848921621,0.07575757575757576,
20,8,0,1.0,1.0,0.0,0.0717338182374388,0.05176767676767677,
21,6,0,1.0,1.0,0.0,0.07759274104790023,0.06563436563436563,
22,7,0,1.0,1.0,0.0,0.07294056150084469,0.06363636363636364,
23,8,0,1.0,1.0,0.0,0.07385523023574639,0.06936813186813187,
24,8,2,1.0,0.75,0.25,0.06499151699191741,0.06420940170940172,1.0
25,7,0,1.0,1.0,0.0,0.07716047680645978,0.06666666666666665,
26,3,0,1.0,1.0,0.0,0.08114214156913985,0.05454545454545455,
27,7,1,1.0,0.8571428571428571,0.14285714285714285,0.0552862895355582,0.05555555555555555,1.0
28,7,4,1.0,0.42857142857142855,0.5714285714285714,0.020329007194828698,0.01818181818181818,1.0
29,9,2,0.8888888888888888,0.6666666666666666,0.2222222222222222,0.042180678721681644,0.04861111111111112,1.0
30,8,2,1.0,0.75,0.25,0.046059505593736234,0.04116161616161616,1.0
31,9,1,1.0,0.8888888888888888,0.1111111111111111,0.038053776881776316,0.051470588235294115,1.0
32,9,3,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.03364538535113149,0.027272727272727275,1.0
33,6,2,1.0,0.6666666666666666,0.3333333333333333,0.03434240864124456,0.028887778887778888,1.0
34,8,5,1.0,0.375,0.625,0.03862878028708336,0.02705627705627705,1.0
